InvoiceNo,Product,Quantity,Price,CustomerID,DateTime
INV032,Bluetooth Speaker,1,49.99,CUST010,2026-02-15 13:00:00
INV032,Wireless Charger,1,29.99,CUST010,2026-02-15 13:00:00
INV033,Power Bank,1,44.99,CUST023,2026-02-15 14:00:00
INV033,Phone Charger,2,19.99,CUST023,2026-02-15 14:00:00
INV034,Laptop Bag,2,39.99,CUST011,2026-02-14 09:00:00
INV034,Screen Protector,1,8.99,CUST011,2026-02-14 09:00:00
INV035,Wireless Mouse,3,29.99,CUST024,2026-02-14 10:00:00
INV035,Mouse Pad,2,14.99,CUST024,2026-02-14 10:00:00
INV035,Desk Pad,1,24.99,CUST024,2026-02-14 10:00:00
INV036,Mechanical Keyboard,1,129.99,CUST012,2026-02-14 11:00:00
INV036,Keycap Set,1,29.99,CUST012,2026-02-14 11:00:00
INV037,Bluetooth Headphones,2,79.99,CUST025,2026-02-14 12:00:00
INV037,Noise Cancelling Buds,1,99.99,CUST025,2026-02-14 12:00:00
INV038,Webcam HD,1,59.99,CUST013,2026-02-13 09:00:00
INV038,Microphone,2,69.99,CUST013,2026-02-13 09:00:00
INV038,Ring Light,1,34.99,CUST013,2026-02-13 09:00:00
INV039,Monitor Arm,1,89.99,CUST026,2026-02-13 10:00:00
INV039,Laptop Stand,1,49.99,CUST026,2026-02-13 10:00:00
INV040,Wireless Charger,2,29.99,CUST014,2026-02-13 11:00:00
INV040,Phone Stand,1,16.99,CUST014,2026-02-13 11:00:00
INV040,USB-C Cable,1,12.99,CUST014,2026-02-13 11:00:00
INV041,Power Bank,1,44.99,CUST027,2026-02-13 12:00:00
INV041,USB-C Hub,1,39.99,CUST027,2026-02-13 12:00:00
INV042,Bluetooth Speaker,1,49.99,CUST015,2026-02-13 13:00:00
INV042,Phone Case,2,15.99,CUST015,2026-02-13 13:00:00
INV043,Desk Pad,2,24.99,CUST028,2026-02-13 14:00:00
INV043,Mouse Pad,1,14.99,CUST028,2026-02-13 14:00:00
INV044,Laptop Bag,1,39.99,CUST016,2026-02-12 09:00:00
INV044,Screen Protector,2,8.99,CUST016,2026-02-12 09:00:00
INV045,Wireless Mouse,1,29.99,CUST029,2026-02-12 10:00:00
INV045,Mechanical Keyboard,1,129.99,CUST029,2026-02-12 10:00:00
INV045,USB-C Cable,2,12.99,CUST029,2026-02-12 10:00:00
INV046,Bluetooth Headphones,1,79.99,CUST017,2026-02-12 11:00:00
INV046,Noise Cancelling Buds,2,99.99,CUST017,2026-02-12 11:00:00
INV047,Webcam HD,2,59.99,CUST030,2026-02-12 12:00:00
INV047,Tripod,1,22.99,CUST030,2026-02-12 12:00:00
INV047,Ring Light,1,34.99,CUST030,2026-02-12 12:00:00
INV048,USB-C Hub,1,39.99,CUST018,2026-02-12 13:00:00
INV048,HDMI Cable,2,9.99,CUST018,2026-02-12 13:00:00
INV048,Monitor Arm,1,89.99,CUST018,2026-02-12 13:00:00
INV049,Wireless Charger,1,29.99,CUST019,2026-02-12 14:00:00
INV049,Phone Charger,1,19.99,CUST019,2026-02-12 14:00:00
INV050,Laptop Stand,2,49.99,CUST020,2026-02-12 15:00:00
INV050,Wireless Mouse,1,29.99,CUST020,2026-02-12 15:00:00
INV050,Desk Pad,1,24.99,CUST020,2026-02-12 15:00:00
INV051,Power Bank,2,44.99,CUST001,2026-02-11 09:00:00
INV051,USB-C Cable,1,12.99,CUST001,2026-02-11 09:00:00
INV052,Bluetooth Speaker,1,49.99,CUST021,2026-02-11 10:00:00
INV052,Phone Case,1,15.99,CUST021,2026-02-11 10:00:00
INV053,Mechanical Keyboard,1,129.99,CUST022,2026-02-11 11:00:00
INV053,Keycap Set,2,29.99,CUST022,2026-02-11 11:00:00
INV053,Desk Pad,1,24.99,CUST022,2026-02-11 11:00:00
INV054,Microphone,1,69.99,CUST023,2026-02-11 12:00:00
INV054,Webcam HD,1,59.99,CUST023,2026-02-11 12:00:00
INV055,Laptop Bag,1,39.99,CUST024,2026-02-11 13:00:00
INV055,Screen Protector,3,8.99,CUST024,2026-02-11 13:00:00
INV056,Wireless Mouse,2,29.99,CUST025,2026-02-11 14:00:00
INV056,Mouse Pad,1,14.99,CUST025,2026-02-11 14:00:00
INV057,Monitor Arm,1,89.99,CUST026,2026-02-11 15:00:00
INV057,HDMI Cable,2,9.99,CUST026,2026-02-11 15:00:00
INV058,Noise Cancelling Buds,1,99.99,CUST027,2026-02-10 09:00:00
INV058,Bluetooth Headphones,1,79.99,CUST027,2026-02-10 09:00:00
INV059,Ring Light,1,34.99,CUST028,2026-02-10 10:00:00
INV059,Tripod,2,22.99,CUST028,2026-02-10 10:00:00
INV060,USB-C Hub,2,39.99,CUST029,2026-02-10 11:00:00
INV060,HDMI Cable,1,9.99,CUST029,2026-02-10 11:00:00
INV061,Wireless Charger,1,29.99,CUST030,2026-02-10 12:00:00
INV061,Phone Stand,2,16.99,CUST030,2026-02-10 12:00:00
INV062,Bluetooth Speaker,2,49.99,CUST001,2026-02-10 13:00:00
INV062,USB-C Cable,1,12.99,CUST001,2026-02-10 13:00:00
INV063,Power Bank,1,44.99,CUST002,2026-02-10 14:00:00
INV063,Phone Charger,1,19.99,CUST002,2026-02-10 14:00:00
INV064,Laptop Stand,1,49.99,CUST003,2026-02-09 09:00:00
INV064,Wireless Mouse,2,29.99,CUST003,2026-02-09 09:00:00
INV065,Desk Pad,1,24.99,CUST004,2026-02-09 10:00:00
INV065,Mouse Pad,2,14.99,CUST004,2026-02-09 10:00:00
INV066,Mechanical Keyboard,1,129.99,CUST005,2026-02-09 11:00:00
INV066,Keycap Set,1,29.99,CUST005,2026-02-09 11:00:00
INV067,Bluetooth Headphones,1,79.99,CUST006,2026-02-09 12:00:00
INV067,Noise Cancelling Buds,1,99.99,CUST006,2026-02-09 12:00:00
INV068,Webcam HD,1,59.99,CUST007,2026-02-09 13:00:00
INV068,Microphone,1,69.99,CUST007,2026-02-09 13:00:00
INV068,Ring Light,1,34.99,CUST007,2026-02-09 13:00:00
INV069,USB-C Hub,1,39.99,CUST008,2026-02-09 14:00:00
INV069,HDMI Cable,3,9.99,CUST008,2026-02-09 14:00:00
INV070,Wireless Charger,2,29.99,CUST009,2026-02-08 09:00:00
INV070,Phone Stand,1,16.99,CUST009,2026-02-08 09:00:00
INV071,Laptop Bag,1,39.99,CUST010,2026-02-08 10:00:00
INV071,Screen Protector,2,8.99,CUST010,2026-02-08 10:00:00
INV072,Wireless Mouse,1,29.99,CUST011,2026-02-08 11:00:00
INV072,Laptop Stand,1,49.99,CUST011,2026-02-08 11:00:00
INV073,Bluetooth Speaker,1,49.99,CUST012,2026-02-08 12:00:00
INV073,Phone Case,2,15.99,CUST012,2026-02-08 12:00:00
INV074,Mechanical Keyboard,2,129.99,CUST013,2026-02-08 13:00:00
INV074,Desk Pad,1,24.99,CUST013,2026-02-08 13:00:00
INV075,Power Bank,1,44.99,CUST014,2026-02-08 14:00:00
INV075,USB-C Cable,2,12.99,CUST014,2026-02-08 14:00:00
INV076,Monitor Arm,1,89.99,CUST015,2026-02-08 15:00:00
INV076,HDMI Cable,1,9.99,CUST015,2026-02-08 15:00:00
INV077,Noise Cancelling Buds,2,99.99,CUST016,2026-02-07 09:00:00
INV077,Bluetooth Headphones,1,79.99,CUST016,2026-02-07 09:00:00
INV078,Ring Light,1,34.99,CUST017,2026-02-07 10:00:00
INV078,Tripod,1,22.99,CUST017,2026-02-07 10:00:00
INV078,Webcam HD,1,59.99,CUST017,2026-02-07 10:00:00
INV079,USB-C Hub,1,39.99,CUST018,2026-02-07 11:00:00
INV079,USB-C Cable,3,12.99,CUST018,2026-02-07 11:00:00
INV080,Wireless Charger,1,29.99,CUST019,2026-02-07 12:00:00
INV080,Phone Charger,2,19.99,CUST019,2026-02-07 12:00:00
INV081,Laptop Stand,2,49.99,CUST020,2026-02-07 13:00:00
INV081,Wireless Mouse,1,29.99,CUST020,2026-02-07 13:00:00
INV082,Bluetooth Speaker,1,49.99,CUST021,2026-02-07 14:00:00
INV082,Phone Case,1,15.99,CUST021,2026-02-07 14:00:00
INV083,Desk Pad,2,24.99,CUST022,2026-02-07 15:00:00
INV083,Mouse Pad,1,14.99,CUST022,2026-02-07 15:00:00
INV084,Laptop Bag,1,39.99,CUST023,2026-02-06 09:00:00
INV084,Screen Protector,2,8.99,CUST023,2026-02-06 09:00:00
INV085,Monitor Arm,1,89.99,CUST024,2026-02-06 10:00:00
INV085,HDMI Cable,2,9.99,CUST024,2026-02-06 10:00:00
INV086,Mechanical Keyboard,1,129.99,CUST025,2026-02-06 11:00:00
INV086,Keycap Set,1,29.99,CUST025,2026-02-06 11:00:00
INV087,Webcam HD,2,59.99,CUST026,2026-02-06 12:00:00
INV087,Microphone,1,69.99,CUST026,2026-02-06 12:00:00
INV088,Power Bank,1,44.99,CUST027,2026-02-06 13:00:00
INV088,USB-C Cable,1,12.99,CUST027,2026-02-06 13:00:00
INV089,Wireless Mouse,3,29.99,CUST028,2026-02-06 14:00:00
INV089,Mouse Pad,2,14.99,CUST028,2026-02-06 14:00:00
INV090,Bluetooth Headphones,1,79.99,CUST029,2026-02-06 15:00:00
INV090,Noise Cancelling Buds,1,99.99,CUST029,2026-02-06 15:00:00
INV091,Wireless Charger,1,29.99,CUST030,2026-02-05 09:00:00
INV091,Phone Stand,1,16.99,CUST030,2026-02-05 09:00:00
INV092,Laptop Stand,1,49.99,CUST001,2026-02-05 10:00:00
INV092,Desk Pad,1,24.99,CUST001,2026-02-05 10:00:00
INV093,Bluetooth Speaker,2,49.99,CUST002,2026-02-05 11:00:00
INV093,USB-C Hub,1,39.99,CUST002,2026-02-05 11:00:00
INV094,Ring Light,1,34.99,CUST003,2026-02-05 12:00:00
INV094,Tripod,1,22.99,CUST003,2026-02-05 12:00:00
INV095,Monitor Arm,1,89.99,CUST004,2026-02-05 13:00:00
INV095,HDMI Cable,1,9.99,CUST004,2026-02-05 13:00:00
INV096,Laptop Bag,1,39.99,CUST005,2026-02-05 14:00:00
INV096,Screen Protector,1,8.99,CUST005,2026-02-05 14:00:00
INV097,Mechanical Keyboard,1,129.99,CUST006,2026-02-05 15:00:00
INV097,Keycap Set,2,29.99,CUST006,2026-02-05 15:00:00
INV098,Webcam HD,1,59.99,CUST007,2026-02-04 09:00:00
INV098,Microphone,1,69.99,CUST007,2026-02-04 09:00:00
INV099,Power Bank,2,44.99,CUST008,2026-02-04 10:00:00
INV099,Phone Charger,1,19.99,CUST008,2026-02-04 10:00:00
INV100,Wireless Mouse,1,29.99,CUST009,2026-02-04 11:00:00
INV100,Mouse Pad,1,14.99,CUST009,2026-02-04 11:00:00
INV100,Desk Pad,2,24.99,CUST009,2026-02-04 11:00:00
